Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
75 Murray Street Building,https://en.wikipedia.org/wiki/Hopkins_Store,73001213,40°42′53″N 74°00′40″W,Tribeca,One of the earliest cast iron façades; created by James Bogardus; built in 1858,1.0,"75 Murray Street, also known as the Hopkins Store, is a historic building between West Broadway and Greenwich Street in the TriBeCa neighborhood of Manhattan, New York City. It was built in 1857-58 and features a cast-iron facade in the Venetian Renaissance style from the foundry of James Bogardus, one of the earliest of the few remaining facades created by the self-described inventor of cast-iron architecture.The original tenants were Francis and John Hopkins, who had a glassware business. Beginning c.1920 the building was the location of Knickerbocker Annunciator, a supplier of elevator traveling cable, electronic cable, and annunciators.
The building was converted to mixed commercial and residential use in 1994–95, at which time it was restored.  It is currently called the Bogardus Mansion and used for events and musical performances.",40.4253,-74.004,POINT (-74.004 40.4253)
ADMIRAL DEWEY (tugboat),https://en.wikipedia.org/wiki/Admiral_Dewey_(tugboat),02001619,40°42′19″N 74°00′11″W,South Street Seaport,,1.0,"Admiral Dewey, also known as Georgetown and today as Helen McAllister, is a 113 feet (34 m) tugboat built in 1900  at the Burlee Drydock in Port Richmond, New York.  She was built with a 900 horsepower (670 kW) triple expansion compound steam engine which was replaced with a diesel engine after World War II.  She towed coal barges to refuel ships in the harbor.  In 1955, she was sold to a Charleston, South Carolina tugboat company.  In the 1980s, the McAllister tugboat company of New York purchased the company and brought the renamed Helen McAllister back to New York harbor.  She helped dock tall ships during Op Sail 1992.After retirement, she was donated to the South Street Seaport Museum in Manhattan in 2000. In 2012, Helen McAllister was returned to McAllister Towing, and is currently in Mariners Harbor, Staten Island.

",40.4219,-74.0011,POINT (-74.00109999999999 40.4219)
African Burying Ground,https://en.wikipedia.org/wiki/African_Burial_Ground_National_Monument,93001597,40°42′49″N 73°59′38″W,Civic Center,Site containing the remains of over 400 Africans buried during the 17th and 18th centuries.,1.0,"African Burial Ground National Monument is a monument at Duane Street and African Burial Ground Way (Elk Street) in the Civic Center section of Lower Manhattan, New York City. Its main building is the Ted Weiss Federal Building at 290 Broadway. The site contains the remains of more than 419 Africans buried during the late 17th and 18th centuries in a portion of what was the largest colonial-era cemetery for people of African descent, some free, most enslaved. Historians estimate there may have been as many as 10,000–20,000 burials in what was called the Negroes Burial Ground in the 1700s. The five to six acre site's excavation and study was called ""the most important historic urban archaeological project in the United States."" The Burial Ground site is New York's earliest known African-American cemetery; studies show an estimated 15,000 African American people were buried here.The discovery highlighted the forgotten history of enslaved Africans in colonial and federal New York City, who were integral to its development. By the American Revolutionary War, they constituted nearly a quarter of the population in the city. New York had the second-largest number of enslaved Africans in the nation after Charleston, South Carolina. Scholars and African-American civic activists joined to publicize the importance of the site and lobby for its preservation. The site was designated a National Historic Landmark in 1993 and a national monument in 2006 by President George W. Bush.
In 2003 Congress appropriated funds for a memorial at the site and directed redesign of the federal courthouse to allow for this. A design competition attracted more than 60 proposals. The memorial was dedicated in 2007 to commemorate the role of Africans and African Americans in colonial and federal New York City, and in United States history. Several pieces of public art were also commissioned for the site. A visitor center opened in 2010 to provide interpretation of the site and African-American history in New York.",40.4249,-73.5938,POINT (-73.5938 40.4249)
AMBROSE (lightship),https://en.wikipedia.org/wiki/United_States_Lightship_LV-87,84002758,40°42′17″N 74°00′09″W,South Street Seaport,"Beacon for New York Harbor, 1908-1933; now at South Street Seaport Museum",1.0,"Lightship Ambrose was the name given to multiple lightships that served as the sentinel beacon marking Ambrose Channel, New York Harbor's main shipping channel.
The first lightstation was established south of the Ambrose Channel off of Sandy Hook, New Jersey, in 1823. From 1823 through 1967, several ships served the Ambrose Channel station; each was referred to as Lightship Ambrose and bore the station's name being painted on her side. In 1906, the lightship serving this station was relocated closer to the center of the Ambrose Channel. On  24 August 1967, the Ambrose station lightship was replaced by a Texas Tower, the Ambrose Light.",40.4217,-74.0009,POINT (-74.0009 40.4217)
American Bank Note Company Building,https://en.wikipedia.org/wiki/American_Bank_Note_Company_Building,99001436,40°42′17″N 74°00′45″W,Financial District,"1908 home of American Bank Note Company, engravers. Now owned by Global Financial Capital of New York, founded by the Maharishi Mahesh Yogi.",1.0,"The American Bank Note Company Building is a five-story building at 70 Broad Street in the Financial District of Manhattan in New York City. The building was designed by architects Kirby, Petit & Green in the neo-classical style, and contains almost 20,000 square feet (1,900 m2) of space, with offices and residences on the upper floors. The exterior consists of a main facade on Broad Street with two columns, as well as side facades with pilasters on Beaver and Marketfield Streets.
The building was erected in 1908 as the home of the American Bank Note Company, a leading engraving company that produced banknotes, currency, stamps, and stock certificates. The company had previously occupied several other sites in Lower Manhattan, and had a printing plant in the Bronx. After the company sold the American Bank Note Company Building in 1988, it was sold to numerous owners, and renovated into offices and residences. The American Bank Note Company Building is a New York City designated landmark and listed on the National Register of Historic Places (NRHP). It is also a contributing property to the Wall Street Historic District, a NRHP district created in 2007.

",40.4217,-74.0045,POINT (-74.00449999999999 40.4217)
American Stock Exchange,https://en.wikipedia.org/wiki/American_Stock_Exchange_Building,78001867,40°42′30″N 74°00′48″W,Financial District,Built in 1921; former headquarters of the American Stock Exchange,1.0,"This is a list of active stock exchanges in the Americas.  Stock exchanges in Latin America (where Spanish and Portuguese prevail) use the term Bolsa de Valores, meaning ""bag"" or ""purse"" of ""values"". (compare Börse in German or bourse in French).
The Caribbean has one major regional stock exchange: the Eastern Caribbean Securities Exchange (ECSE), which serves Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, and Saint Vincent and the Grenadines. The service area of the ECSE corresponds to the service area of the Eastern Caribbean Central Bank, with which it is associated.

",40.423,-74.0048,POINT (-74.0048 40.423)
American Thread Building,https://en.wikipedia.org/wiki/American_Thread_Building,04001532,40°43′14″N 74°00′22″W,Tribeca,,1.0,"The American Thread Building is a historic building located at 260 West Broadway on the corner of Beach Street in the TriBeCa neighborhood of lower Manhattan, New York City. The eleven story building was designed in the Renaissance Revival style by architect William B. Tubby, and built in 1896. It was originally known as the Wool Exchange Building, and owned by the Wool Warehouse Company. The wool company did not succeed and the building was acquired by the American Thread Company in 1907.In 1979 a group of young artist made a stand against real estate developer Harry B. Macklowe.  He emptied a 93% occupied building of its rent paying tenants with the help of the J51 tax abatement offered by then NYC mayor Ed Koch.  It was a lost battle in the New York City courts and the building was renovated and converted into live/work lofts in 1981.The building was added to the National Register of Historic Places on January 20, 2005.
In 2007, a renovation of one of the units uncovered an early work by artist Keith Haring.",40.4314,-74.0022,POINT (-74.0022 40.4314)
Astor Place Subway Station (IRT),https://en.wikipedia.org/wiki/Astor_Place_station,04001013,40°43′48″N 73°59′30″W,East Village,"Subway station (4, ​6, and <6> trains) completed in 1904; one of the original twenty-eight stations",1.0,"The Astor Place station, also called Astor Place–Cooper Union on signs, is a local station on the IRT Lexington Avenue Line of the New York City Subway. Located at Fourth Avenue, Cooper Square, and Astor Place between the East Village and NoHo, it is served by 6 trains at all times, <6> trains during weekdays in the peak direction, and 4 trains during late night hours.
The Astor Place station was constructed for the Interborough Rapid Transit Company (IRT) as part of the city's first subway line, which was approved in 1900. Construction of the line segment that includes the Astor Place station started on September 12 of the same year. The station opened on October 27, 1904, as one of the original 28 stations of the New York City Subway. The station's platforms were lengthened in the late 1950s, and the station was renovated in the mid-1980s.
The Astor Place station contains two side platforms and four tracks; express trains use the inner two tracks to bypass the station. The station was built with tile and mosaic decorations. The platforms contain exits to Astor Place and are not connected to each other within fare control. The original station interior is a New York City designated landmark and listed on the National Register of Historic Places.",40.4348,-73.593,POINT (-73.593 40.4348)
Bank of New York Building,https://en.wikipedia.org/wiki/48_Wall_Street,03000847,40°42′23″N 74°00′34″W,Financial District,Built in 1928; land used by the bank since 1797; modified to house the Museum of American Finance,1.0,"The Federal Reserve Bank of New York Building, also known as 33 Liberty Street, is a building in the Financial District of Manhattan in New York City, which serves as the headquarters of the Federal Reserve Bank of New York. The building occupies the full block between Liberty, William, and Nassau Streets and Maiden Lane; it narrows at its east end, following the footprint of the block.
The Federal Reserve Building has fourteen above-ground stories and five basement levels, designed by York and Sawyer with decorative ironwork by Samuel Yellin of Philadelphia. Its facade is separated horizontally into three sections: a base, midsection, and top section. The stone exterior is reminiscent of early Italian Renaissance palaces such as Florence's Palazzo Strozzi and Palazzo Vecchio. The horizontal and vertical joints of the facade's stones are deeply rusticated. The Federal Reserve Building's gold vault rests on Manhattan's bedrock, 80 feet (24 m) below street level and 50 feet (15 m) below sea level. The vault contains the largest known monetary-gold reserve in the world, with about 6,190 short tons (5,620 metric tons) in storage as of 2019.
The building was erected from 1919 to 1924, with an eastward extension built in 1935. The Federal Reserve Building's design and scale was largely praised upon its completion. The building was designated a city landmark by the New York City Landmarks Preservation Commission in 1966 and was added to the National Register of Historic Places (NRHP) in 1980. It is a contributing property to the Wall Street Historic District, an NRHP district created in 2007.",40.4223,-74.0034,POINT (-74.0034 40.4223)
Battery Park Control House,https://en.wikipedia.org/wiki/Battery_Park_Control_House,80002669,40°42′14″N 74°00′54″W,Financial District,"Subway control house for the 4 and ​5 trains built in 1929; brick and stone structures meant to resemble garden pavilions; ""Control house"" refers to controlling the passenger flow",1.0,"The Bowling Green station is a station on the IRT Lexington Avenue Line of the New York City Subway, located at Broadway and Battery Place (at Bowling Green), in the Financial District of Manhattan. It is served by the 4 train at all times and the 5 train at all times except late nights.
The station opened in 1905 as an extension of the Interborough Rapid Transit (IRT)'s original subway line to South Ferry. At the time, there was a single island platform with one exit at Battery Park and another in Bowling Green. When the Lexington Avenue Line was expanded to Brooklyn in 1908, some trains continued going to South Ferry, resulting in the creation of a short island platform at the Bowling Green station for the Bowling Green–South Ferry shuttle. The shuttle operated until 1977. During the 1970s, the station was completely renovated, a new exit was built, and a third, side platform was created for northbound trains.
The Bowling Green station contains three platforms: two island platforms and one side platform. The westernmost island platform, used by the shuttle, has not been in use since 1977. The station retains its original head house in Battery Park, which is listed on the National Register of Historic Places and a New York City designated landmark. There are two other exits to Bowling Green, one of which contains an elevator that makes the station compliant with the Americans with Disabilities Act of 1990.",40.4214,-74.0054,POINT (-74.00539999999999 40.4214)
